hpx,Mean,StDev,Min,Max,Median,Q10,NGood,RA,Dec,GAL_LONG,GAL_LAT
291,0.007322672,0.0039251973,2.2578E-4,0.02867565,0.00683069,0.002624952,1340,337.49999999999994,-4.780191847199159,60.13455104794356,-49.57827576936279
292,0.008634792,0.0048678857,1.0151E-4,0.02792806,0.00795164,0.00271502,942,348.75,-4.780191847199159,72.85162898437731,-57.943429653588154
293,0.008588816,0.004638344,2.3881E-4,0.02687964,0.00796385,0.003157315,946,354.375,0.0,86.68577111008922,-57.57277379561362
294,0.007700669,0.0041626454,2.2496E-4,0.02416887,0.0071359,0.002693489,1148,343.12499999999994,0.0,71.53257681370836,-50.60655634379145
295,0.007795325,0.0042916466,5.9744E-4,0.02775566,0.00728067,0.00289607,1121,348.75,4.780191847199159,83.15241524363218,-50.49122619539948
296,0.005787065,0.0031158167,1.9924E-4,0.0174317,0.00535939,0.00203438,2134,326.25,-4.780191847199159,51.12470057319844,-40.33569356825476
297,0.0065534194,0.0035015764,3.9607E-4,0.02109202,0.006149605,0.00230952,1648,331.875,0.0,60.62405226899676,-42.20928879904989
298,0.004751823,0.0025150683,8.061E-5,0.0170967,0.00445672,0.001748016,3170,320.625,0.0,52.38810129616106,-33.028538299735565
299,0.005233162,0.0028459323,7.005E-5,0.0173724,0.00499343,0.001683742,2553,326.25,4.780191847199159,61.01075948977646,-34.838657747699166
300,0.006836578,0.0036284702,2.1598E-4,0.022504,0.00656547,0.00231344,1555,337.49999999999994,4.780191847199159,70.57129774600982,-43.258828134272626
301,0.007410079,0.003750219,5.7175E-4,0.02407643,0.00714454,0.00285968,1331,343.12499999999994,9.594068226860461,80.70012010413814,-43.31429344565697
302,0.0056695645,0.0030565432,3.4434E-4,0.0172796,0.0052176,0.002068976,2177,331.875,9.594068226860461,69.95587581889625,-35.905247397194415
303,0.0060836207,0.0032871352,1.5774E-4,0.01957584,0.005707855,0.00206225,1876,337.49999999999994,14.477512185929923,79.04633294340428,-36.07010836594785
304,0.0084242895,0.004740314,5.433E-5,0.02728732,0.00791345,0.00272903,973,0.0,4.780191847199159,99.71988634458577,-55.75608418167076
305,0.009337519,0.004756675,6.0891E-4,0.02976379,0.00892747,0.00362015,845,5.625,9.594068226860461,111.13183495080565,-52.61341054603454
306,0.0081897015,0.004595904,6.184E-5,0.02711559,0.00761733,0.002839588,1019,354.375,9.594068226860461,94.38930479911751,-49.13647315048049
307,0.0072381175,0.00422056,8.714E-5,0.02471514,0.00656136,0.00245939,1279,0.0,14.477512185929923,104.6668830246895,-46.5619461792447
308,0.008378085,0.0046851216,1.6995E-4,0.02855621,0.00783315,0.002855422,1022,11.25,14.477512185929923,120.58599181176031,-48.364908540125484
309,0.008290004,0.0044213333,6.608E-4,0.02506399,0.00774062,0.00306658,1055,16.875,19.47122063449069,128.1315314358646,-43.238306758243525
310,0.007928516,0.0042212475,6.7742E-4,0.02231173,0.007478285,0.002708338,1122,5.625,19.47122063449069,113.60812505406673,-42.87602578999107
311,0.00709019,0.0037408653,1.2855E-4,0.02251765,0.00682618,0.00218913,1457,11.25,24.624318352164078,121.06942094959835,-38.22414635136539
312,0.006951355,0.0036393763,1.4053E-4,0.02279725,0.006679185,0.00241153,1420,348.75,14.477512185929923,90.6257950145584,-42.26494847788446
313,0.00671901,0.0037849685,6.576E-5,0.02116129,0.00633489,0.00205214,1472,354.375,19.47122063449069,99.93744370883309,-40.076156316888465
314,0.006210256,0.0033139922,8.793E-5,0.02098927,0.00586149,0.002103338,1845,343.12499999999994,19.47122063449069,88.01799264649304,-35.21274491927722
315,0.005951049,0.0031689594,6.085E-5,0.02182303,0.00564413,0.002183216,2002,348.75,24.624318352164078,96.56659050201078,-33.26295966536506
316,0.0068362574,0.0037283136,8.027E-5,0.0224019,0.006332575,0.00243699,1522,0.0,24.624318352164078,108.29994370021002,-36.781623786854645
317,0.006364224,0.0032200941,7.21E-5,0.02485303,0.00602051,0.002407242,1732,5.625,30.000000000000004,115.50602060206965,-32.454147424087125
318,0.005862016,0.0031204554,1.4356E-4,0.02227504,0.00548172,0.00208208,2101,354.375,30.000000000000004,104.40894420384319,-30.198474628483904
319,0.005397079,0.0028319752,7.11E-5,0.01734068,0.00524452,0.00186375,2472,0.0,35.68533471265205,111.32663634462062,-26.024560927073765
320,0.0051295278,0.0027922431,5.949E-5,0.01620097,0.00470455,0.00176177,2691,90.0,-35.68533471265205,241.80974829109851,-25.269381483990326
321,0.003937734,0.002063761,5.778E-5,0.01446153,0.0036357,0.00145511,4721,95.62500000000001,-30.000000000000004,237.63791693317336,-18.968780376615925
322,0.0057775285,0.0030511376,6.787E-5,0.01999517,0.0054664,0.00201692,2179,84.37499999999999,-30.000000000000004,234.20553034850397,-28.18741438904903
323,0.0044668326,0.0023131564,6.745E-5,0.01946205,0.004163255,0.001677015,3580,90.0,-24.624318352164078,230.38115839382934,-21.71909553680383
324,0.002722321,0.0013766193,5.567E-5,0.00895918,0.002535995,0.001060778,10114,101.24999999999999,-24.624318352164078,234.49952819761418,-12.28162842677727
325,0.0020883216,0.0010044368,5.443E-5,0.00849096,0.00194915,9.0762E-4,17259,106.87499999999999,-19.47122063449069,232.0913135283076,-5.349797263275087
326,0.0033131572,0.0017139418,6.727E-5,0.0123752,0.00312384,0.0012378,6618,95.62500000000001,-19.47122063449069,227.46858986058143,-14.931333380450544
327,0.0024471146,0.0012074697,6.533E-5,0.00874252,0.002282285,0.00101537,12556,101.24999999999999,-14.477512185929923,225.179247699237,-7.943659629227795
328,0.006173708,0.0033740883,1.007E-4,0.01805225,0.00589236,0.002001035,1828,78.75,-24.624318352164078,226.5819016092773,-31.364184671070475
329,0.004974187,0.0027674998,5.805E-5,0.01781783,0.00461454,0.00168632,2789,84.37499999999999,-19.47122063449069,223.09937657977508,-24.710010751465052
330,0.006592684,0.0036906716,6.76E-5,0.0250372,0.006054995,0.002079899,1622,73.12500000000001,-19.47122063449069,218.75130762028107,-34.62249942212104
331,0.005957159,0.0031619656,8.918E-5,0.01901114,0.00552363,0.00219605,2075,78.75,-14.477512185929923,215.66248976927503,-27.7746713154759
332,0.0041118315,0.0021639906,1.01E-4,0.01485729,0.00380506,0.00147216,4224,90.0,-14.477512185929923,220.4295777001677,-17.805249526417207
333,0.0032346884,0.0016802505,5.852E-5,0.01322382,0.00297489,0.001236461,6948,95.62500000000001,-9.594068226860461,218.28830148199322,-10.748954678429808
334,0.00510016,0.0027830026,1.3756E-4,0.02225139,0.004715245,0.001787852,2762,84.37499999999999,-9.594068226860461,213.28634871897867,-20.74561009327769
335,0.003749088,0.0019941025,5.0E-5,0.01267653,0.00346456,0.00134701,5038,90.0,-4.780191847199159,211.3420506661117,-13.61437852114102
336,0.00198858,9.4467244E-4,6.914E-5,0.00821564,0.001846355,8.7178E-4,19300,112.5,-14.477512185929923,230.1836491635498,1.737136251903344
337,0.002810442,0.0014161933,5.514E-5,0.0100198,0.00261603,0.00111922,9251,118.12500000000001,-9.594068226860461,228.59466253003328,8.919840343845284
338,0.0022917206,0.00112198,8.797E-5,0.0091688,0.00212615,9.89762E-4,14238,106.87499999999999,-9.594068226860461,223.29206321888157,-0.8334563044168927
339,0.002450557,0.0011907936,5.891E-5,0.00928078,0.00229346,0.001025015,12276,112.5,-4.780191847199159,221.62771343494413,6.345622049616607
340,0.0039178426,0.0020541798,7.198E-5,0.01345442,0.00359799,0.001399256,4707,123.74999999999999,-4.780191847199159,227.16741350453333,16.15593775225442
341,0.005154702,0.0027833732,1.4109E-4,0.01645747,0.004859005,0.001778209,2682,129.375,0.0,225.7485401169859,23.411150753334876
342,0.0034597858,0.0018126381,8.016E-5,0.01277029,0.003180985,0.001329024,5962,118.12500000000001,0.0,220.025808602842,13.551970102268585
